순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
19,이강민,KT,0.193,51,157,145,12,28,1,0,0,29,14,2,1,8,0,1,38,4,0.200,0.239,0.439,7,0.286,0.000
20,장준원,KT,0.170,39,57,47,2,8,1,0,2,15,7,5,0,5,0,0,14,1,0.319,0.250,0.569,1,0.125,0.000
21,강현우,KT,0.158,21,23,19,1,3,0,0,0,3,0,0,0,4,0,0,6,1,0.158,0.304,0.462,0,0.000,0.000
22,김민석,KT,0.000,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.500,0.500,0,0.000,0.000
22,김민수,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
22,김정운,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
22,박영현,KT,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
22,안치영,KT,0.000,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000
22,오서진,KT,0.000,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0,0.000,0.000
22,우규민,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
22,장진혁,KT,0.000,10,5,5,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0.000,0.000,0.000,0,0.000,0.000
22,전용주,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
22,정준영,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
22,주권,KT,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
1,오스틴,LG,0.347,69,311,271,56,94,15,3,20,175,64,0,3,33,3,4,45,6,0.646,0.421,1.067,24,0.405,0.000
2,문성주,LG,0.323,39,142,124,10,40,7,0,0,47,15,2,2,12,2,2,16,3,0.379,0.386,0.765,11,0.314,0.333
3,송찬의,LG,0.311,47,160,135,32,42,13,1,7,78,29,0,0,17,0,8,36,6,0.578,0.419,0.997,11,0.313,1.000
4,천성호,LG,0.282,61,191,174,27,49,12,1,1,66,21,2,0,12,1,3,28,6,0.379,0.339,0.718,14,0.208,0.286
5,박해민,LG,0.279,69,269,226,36,63,8,0,2,77,30,8,6,21,0,8,35,1,0.341,0.352,0.693,15,0.333,0.000
6,문보경,LG,0.275,43,188,149,19,41,3,0,5,59,28,0,3,35,2,1,34,5,0.396,0.410,0.806,11,0.347,0.000
7,구본혁,LG,0.273,67,190,165,18,45,3,0,0,48,15,8,1,15,0,1,24,3,0.291,0.335,0.626,10,0.280,0.667
