순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
17,김서준,키움,6.23,16,0,0,0,2,-,17 1/3,14,4,13,1,18,12,12,1.56,0,0,0,0,78,311,0.219,0,0,0,0,0,2,0
18,김윤하,키움,6.75,6,0,1,0,0,0.000,12,14,3,4,0,10,12,9,1.50,0,0,0,0,57,243,0.280,4,0,1,2,0,0,0
19,조영건,키움,6.86,25,1,1,0,2,0.500,21,29,4,6,4,15,16,16,1.67,0,0,0,0,97,351,0.349,6,2,2,2,1,1,0
20,박윤성,키움,7.71,4,0,1,0,1,0.000,2 1/3,2,0,2,0,1,2,2,1.71,0,0,0,1,10,31,0.250,0,0,0,0,0,0,0
21,김재웅,키움,8.84,18,0,1,5,2,0.000,19 1/3,25,4,8,0,7,19,19,1.71,0,0,0,2,91,356,0.313,3,0,2,1,0,0,0
22,윤석원,키움,9.00,7,0,0,0,0,-,7,10,1,2,0,5,7,7,1.71,0,0,0,0,31,129,0.357,2,0,0,1,0,1,0
22,이태양,키움,9.00,1,0,0,0,0,-,1,1,0,1,2,0,1,1,2.00,0,0,0,0,6,18,0.333,0,0,0,0,0,0,0
24,전준표,키움,9.35,10,0,1,0,0,0.000,8 2/3,10,1,12,3,8,9,9,2.54,0,0,0,0,51,234,0.278,1,1,0,0,0,5,0
25,이준우,키움,10.13,8,0,1,0,0,0.000,8,12,0,8,1,7,10,9,2.50,0,0,0,0,42,172,0.387,1,0,1,1,0,1,0
26,정세영,키움,10.43,6,0,2,0,0,0.000,14 2/3,24,3,6,1,4,19,17,2.05,0,0,0,0,76,268,0.369,4,0,3,1,0,2,0
27,정현우,키움,10.80,1,0,1,0,0,0.000,5,5,1,3,0,3,6,6,1.60,0,0,0,0,22,84,0.263,2,0,0,0,0,0,0
28,김연주,키움,16.20,2,0,1,0,0,0.000,3 1/3,5,0,4,1,3,7,6,2.70,0,0,0,0,21,80,0.313,1,0,0,0,0,1,0
29,최현우,키움,18.00,1,0,0,0,0,-,1,2,1,0,0,0,2,2,2.00,0,0,0,0,5,15,0.400,0,0,0,0,0,0,0
30,김동규,키움,21.00,5,0,0,0,0,-,3,5,0,6,1,4,7,7,3.67,0,0,0,0,21,90,0.357,0,0,0,0,0,4,0
1,이교훈,한화,0.00,1,0,0,0,0,-,1/3,1,0,1,0,1,2,0,6.00,0,0,0,0,3,11,0.500,0,0,0,0,0,0,0
2,장유호,한화,2.25,8,1,0,0,0,1.000,12,9,1,7,1,8,3,3,1.33,0,0,0,0,50,206,0.220,0,0,0,1,0,1,0
3,류현진,한화,2.67,15,8,2,0,0,0.800,87 2/3,82,4,11,2,70,33,26,1.06,0,0,9,0,354,1300,0.248,15,2,7,3,1,1,0
4,조동욱,한화,2.67,41,1,1,1,9,0.500,33 2/3,36,0,10,2,32,10,10,1.37,0,0,0,1,142,502,0.286,2,1,4,0,0,1,0
5,화이트,한화,2.84,10,5,4,0,0,0.556,57,52,3,11,1,40,19,18,1.11,0,0,6,0,231,895,0.242,10,2,1,3,0,1,0
6,이상규,한화,3.25,32,2,1,0,7,0.667,36,33,3,13,3,29,17,13,1.28,0,0,0,3,158,578,0.239,1,1,4,0,0,2,0
7,왕옌청,한화,3.59,17,7,3,0,0,0.700,85 1/3,89,6,38,6,71,44,34,1.49,0,0,4,0,380,1501,0.266,14,0,1,1,0,4,0
8,이민우,한화,4.11,33,1,4,5,5,0.200,35,34,1,12,4,16,16,16,1.31,0,0,0,2,153,599,0.258,5,1,1,4,0,3,0
9,강재민,한화,4.26,7,0,0,0,0,-,6 1/3,8,0,5,2,3,3,3,2.05,0,0,0,0,33,129,0.320,0,0,1,0,0,0,0
10,박준영,한화,4.42,10,2,3,0,1,0.400,36 2/3,27,7,15,6,27,18,18,1.15,0,0,0,1,144,603,0.259,7,3,1,3,0,0,1
11,박준영,한화,4.50,26,1,0,0,0,1.000,32,29,3,24,4,30,17,16,1.66,0,0,0,1,144,603,0.259,7,3,1,3,0,0,1
12,쿠싱,한화,4.79,16,1,2,4,0,0.333,20 2/3,20,3,6,0,26,11,11,1.26,0,0,0,1,88,334,0.247,2,0,1,0,0,0,0
13,권민규,한화,4.82,9,1,0,0,0,1.000,9 1/3,13,1,4,0,7,5,5,1.82,0,0,0,0,43,173,0.342,2,1,0,1,0,0,0
