순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
26,이해승,삼성,0.071,19,16,14,1,1,0,0,0,1,1,1,0,1,0,0,6,0,0.071,0.133,0.204,0,0.000,0.000
27,함수호,삼성,0.063,11,18,16,0,1,0,0,0,1,2,0,0,2,0,0,5,0,0.063,0.167,0.230,0,0.167,0.200
28,김재윤,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
28,윤정빈,삼성,0.000,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.000,0.000,0.000,0,0.000,0.000
28,이승현,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
28,차승준,삼성,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
1,박찬혁,키움,0.287,32,98,87,5,25,3,0,0,28,3,2,0,6,0,3,25,3,0.322,0.354,0.676,6,0.217,0.500
2,추재현,키움,0.286,12,39,35,2,10,1,0,1,14,3,0,0,3,0,1,6,5,0.400,0.359,0.759,2,0.143,0.000
2,히우라,키움,0.286,21,95,84,9,24,3,0,4,39,17,0,0,9,0,2,31,3,0.464,0.368,0.832,6,0.435,0.000
4,서건창,키움,0.282,39,182,149,24,42,5,2,1,54,10,3,0,24,1,6,20,2,0.362,0.402,0.764,10,0.308,0.000
5,안치홍,키움,0.280,64,269,239,25,67,11,0,4,90,24,0,0,28,2,2,38,8,0.377,0.361,0.738,15,0.262,0.500
6,임병욱,키움,0.264,43,160,144,19,38,11,0,6,67,18,1,1,10,0,4,47,1,0.465,0.327,0.792,11,0.182,0.333
7,김웅빈,키움,0.252,36,134,119,9,30,4,0,3,43,10,0,0,13,0,2,33,0,0.361,0.336,0.697,9,0.147,0.167
